$0;1578228633738689700;1.13;KIEKER-SINGLETON;DESKTOP-4RF3KHM;1;false;0;NANOSECONDS;0
$1;1578228635025334800;public static void depends.entity.Entity.setParent(depends.entity.Entity, depends.entity.Entity);<no-session-id>;1271985419755454469;1578228635025226200;1578228635025333600;DESKTOP-4RF3KHM;66;5
$1;1578228635025338200;public void depends.entity.repo.InMemoryEntityRepo.add(depends.entity.Entity);<no-session-id>;1271985419755454469;1578228635025092600;1578228635025337300;DESKTOP-4RF3KHM;57;4
$1;1578228635025419700;public void depends.entity.FileEntity.addType(depends.entity.TypeEntity);<no-session-id>;1271985419755454469;1578228635025402100;1578228635025417700;DESKTOP-4RF3KHM;69;4
$1;1578228635025425000;public depends.entity.TypeEntity depends.extractor.HandlerContext.foundNewType(depends.entity.GenericName);<no-session-id>;1271985419755454469;1578228635024519900;1578228635025423800;DESKTOP-4RF3KHM;37;3
$1;1578228635025545500;public depends.entity.ContainerEntity depends.extractor.HandlerContext.lastContainer();<no-session-id>;1271985419755454469;1578228635025532300;1578228635025543400;DESKTOP-4RF3KHM;70;3
$1;1578228635033708500;private java.lang.Object depends.extractor.java.context.AnnotationProcessor.invokeMethod(java.lang.Object, java.lang.String);<no-session-id>;1271985419755454469;1578228635025865000;1578228635033689200;DESKTOP-4RF3KHM;73;5
$1;1578228635090735400;private java.lang.Object depends.extractor.java.context.AnnotationProcessor.invokeMethod(java.lang.Object, java.lang.String);<no-session-id>;1271985419755454469;1578228635090664200;1578228635090732100;DESKTOP-4RF3KHM;76;7
$1;1578228635090755200;private java.lang.Object depends.extractor.java.context.AnnotationProcessor.lambda$1(java.lang.String, java.lang.Object);<no-session-id>;1271985419755454469;1578228635090637500;1578228635090751900;DESKTOP-4RF3KHM;75;6
$1;1578228635090960300;private static boolean depends.extractor.java.context.AnnotationProcessor.lambda$2(java.lang.Object);<no-session-id>;1271985419755454469;1578228635090869000;1578228635090953400;DESKTOP-4RF3KHM;77;6
$1;1578228635091021200;private java.lang.Object depends.extractor.java.context.AnnotationProcessor.invokeMethod(java.lang.Object, java.lang.String);<no-session-id>;1271985419755454469;1578228635033888000;1578228635091016400;DESKTOP-4RF3KHM;74;5
$1;1578228635091767700;private void depends.extractor.java.context.AnnotationProcessor.mergeElements(java.util.Collection, java.lang.Object);<no-session-id>;1271985419755454469;1578228635091393500;1578228635091754800;DESKTOP-4RF3KHM;78;5
$1;1578228635091786000;public void depends.extractor.java.context.AnnotationProcessor.processAnnotationModifier(org.antlr.v4.runtime.RuleContext, java.lang.Class, java.lang.String, java.util.List);<no-session-id>;1271985419755454469;1578228635025735300;1578228635091783500;DESKTOP-4RF3KHM;72;4
$1;1578228635091790400;public void depends.extractor.java.context.AnnotationProcessor.processAnnotationModifier(org.antlr.v4.runtime.RuleContext, java.lang.Class, java.lang.String, depends.entity.ContainerEntity);<no-session-id>;1271985419755454469;1578228635025630600;1578228635091789300;DESKTOP-4RF3KHM;71;3
$1;1578228635091803700;public void depends.extractor.java.JavaListener.enterClassDeclaration(depends.extractor.java.JavaParser$ClassDeclarationContext);<no-session-id>;1271985419755454469;1578228635023919200;1578228635091802600;DESKTOP-4RF3KHM;34;2
$1;1578228635096130700;public static java.util.List depends.extractor.java.context.QualitiedNameContextHelper.getNames(depends.extractor.java.JavaParser$QualifiedNameListContext);<no-session-id>;1271985419755454469;1578228635096118900;1578228635096128000;DESKTOP-4RF3KHM;80;3
$1;1578228635102428800;public static java.lang.String depends.extractor.java.context.ClassTypeContextHelper.getClassName(depends.extractor.java.JavaParser$TypeTypeOrVoidContext);<no-session-id>;1271985419755454469;1578228635102392200;1578228635102424400;DESKTOP-4RF3KHM;81;3
$1;1578228635103273600;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;1271985419755454469;1578228635103269100;1578228635103270500;DESKTOP-4RF3KHM;84;5
$1;1578228635103291500;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;1271985419755454469;1578228635103262100;1578228635103290100;DESKTOP-4RF3KHM;83;4
$1;1578228635103314400;public depends.entity.Entity depends.extractor.HandlerContext.latestValidContainer();<no-session-id>;1271985419755454469;1578228635103310000;1578228635103313400;DESKTOP-4RF3KHM;85;4
$1;1578228635103325700;public java.lang.Integer depends.entity.repo.SimpleIdGenerator.generateId();<no-session-id>;1271985419755454469;1578228635103323900;1578228635103324800;DESKTOP-4RF3KHM;86;4
$1;1578228635103337500;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;1271985419755454469;1578228635103336100;1578228635103336800;DESKTOP-4RF3KHM;88;5
$1;1578228635103340500;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;1271985419755454469;1578228635103332100;1578228635103339900;DESKTOP-4RF3KHM;87;4
$1;1578228635103366200;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;1271985419755454469;1578228635103364700;1578228635103365400;DESKTOP-4RF3KHM;91;6
$1;1578228635103369200;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;1271985419755454469;1578228635103361400;1578228635103368600;DESKTOP-4RF3KHM;90;5
$1;1578228635103376400;private java.util.Set depends.entity.Entity.children();<no-session-id>;1271985419755454469;1578228635103374600;1578228635103375800;DESKTOP-4RF3KHM;92;5
